comp_1,comp_2,smile_1,smile_2
CHEBI:70353,CHEBI:99265,COc1cc(CC=C)c(OC)c2OCOc12,CC(C)(C)[S@](=O)N1CC2=CC(=NC(=C2[C@@H]1CCO)C3=CC=CC(=C3)C4=CC(=CC=C4)C(=O)N(C)C)C(=O)N5CCCCC5
CHEBI:80747,CHEBI:119051,CC(C)CC(=O)OCc1cocc2c(C=O)ccc12,CC(C)C1=CN(N=N1)CC[C@@H]2CC[C@@H]([C@@H](O2)CO)NC(=O)C3=CC(=CC=C3)F
CHEBI:80747,CHEBI:119052,CC(C)CC(=O)OCc1cocc2c(C=O)ccc12,C[C@@H](C1=CC=CC=C1)NC(=O)C[C@H]2C=C[C@@H]([C@H](O2)CO)NS(=O)(=O)C3=CC=CC(=C3)F
CHEBI:80747,CHEBI:124254,CC(C)CC(=O)OCc1cocc2c(C=O)ccc12,C[C@H]1CN(C(=O)CC2=C(C=CC(=C2)NC(=O)C3CC3)O[C@H]1CN(C)CC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5N)[C@H](C)CO
CHEBI:80747,CHEBI:15825,CC(C)CC(=O)OCc1cocc2c(C=O)ccc12,CC(C)=CC=O
CHEBI:80747,CHEBI:16108,CC(C)CC(=O)OCc1cocc2c(C=O)ccc12,OCC(=O)COP(O)(O)=O
CHEBI:80747,CHEBI:166,CC(C)CC(=O)OCc1cocc2c(C=O)ccc12,C[C@H]1CC[C@H](CC1=O)C(C)=C
CHEBI:80747,CHEBI:18229,CC(C)CC(=O)OCc1cocc2c(C=O)ccc12,[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)CCC[C@@H](N)C(O)=O)C(O)=O
CHEBI:80747,CHEBI:27825,CC(C)CC(=O)OCc1cocc2c(C=O)ccc12,COc1cc(O)c2c(c1)oc(-c1ccc(OC)c(O)c1)c(OC)c2=O
CHEBI:80747,CHEBI:48551,CC(C)CC(=O)OCc1cocc2c(C=O)ccc12,*NC(N)=N
