,comp_1,comp_2
567,CHEBI:44115,CHEBI:34809
568,CHEBI:44115,CHEBI:34810
569,CHEBI:44115,CHEBI:37476
570,CHEBI:44115,CHEBI:39750
571,CHEBI:44115,CHEBI:4286
572,CHEBI:44115,CHEBI:48242
573,CHEBI:44115,CHEBI:50629
574,CHEBI:44115,CHEBI:69014
575,CHEBI:44115,CHEBI:7728
576,CHEBI:52255,CHEBI:100636
577,CHEBI:52255,CHEBI:124254
578,CHEBI:52255,CHEBI:15444
579,CHEBI:52255,CHEBI:15825
580,CHEBI:52255,CHEBI:16286
581,CHEBI:52255,CHEBI:166
582,CHEBI:52255,CHEBI:18400
583,CHEBI:52255,CHEBI:212
584,CHEBI:52255,CHEBI:2220
585,CHEBI:52255,CHEBI:27808
586,CHEBI:52255,CHEBI:27825
587,CHEBI:52255,CHEBI:28142
588,CHEBI:52255,CHEBI:34809
589,CHEBI:52255,CHEBI:34810
590,CHEBI:52255,CHEBI:37476
591,CHEBI:52255,CHEBI:39750
592,CHEBI:52255,CHEBI:48242
593,CHEBI:52255,CHEBI:48510
594,CHEBI:52255,CHEBI:69014
595,CHEBI:52255,CHEBI:7728
596,CHEBI:138729,CHEBI:124254
597,CHEBI:138729,CHEBI:15580
598,CHEBI:138729,CHEBI:15825
599,CHEBI:138729,CHEBI:16286
600,CHEBI:138729,CHEBI:166
601,CHEBI:138729,CHEBI:18400
602,CHEBI:138729,CHEBI:242
603,CHEBI:138729,CHEBI:27825
604,CHEBI:138729,CHEBI:28142
605,CHEBI:138729,CHEBI:34809
606,CHEBI:138729,CHEBI:34810
607,CHEBI:138729,CHEBI:37476
608,CHEBI:138729,CHEBI:39750
609,CHEBI:138729,CHEBI:48242
610,CHEBI:138729,CHEBI:69014
611,CHEBI:138729,CHEBI:7728
612,CHEBI:134105,CHEBI:100636
613,CHEBI:134105,CHEBI:124254
614,CHEBI:134105,CHEBI:15492
615,CHEBI:134105,CHEBI:15825
616,CHEBI:134105,CHEBI:166
617,CHEBI:134105,CHEBI:16725
618,CHEBI:134105,CHEBI:17038
619,CHEBI:134105,CHEBI:27825
620,CHEBI:134105,CHEBI:282
621,CHEBI:134105,CHEBI:28656
622,CHEBI:134105,CHEBI:39750
623,CHEBI:134105,CHEBI:53209
624,CHEBI:134105,CHEBI:7728
625,CHEBI:24315,CHEBI:100636
626,CHEBI:24315,CHEBI:124254
627,CHEBI:24315,CHEBI:129650
628,CHEBI:24315,CHEBI:140622
629,CHEBI:24315,CHEBI:15492
630,CHEBI:24315,CHEBI:15657
631,CHEBI:24315,CHEBI:15825
632,CHEBI:24315,CHEBI:16352
633,CHEBI:24315,CHEBI:166
634,CHEBI:24315,CHEBI:17020
635,CHEBI:24315,CHEBI:17065
636,CHEBI:24315,CHEBI:17546
637,CHEBI:24315,CHEBI:18400
638,CHEBI:24315,CHEBI:27825
639,CHEBI:24315,CHEBI:28071
640,CHEBI:24315,CHEBI:28234
641,CHEBI:24315,CHEBI:28359
642,CHEBI:24315,CHEBI:28502
643,CHEBI:24315,CHEBI:30717
644,CHEBI:24315,CHEBI:30718
645,CHEBI:24315,CHEBI:34809
646,CHEBI:24315,CHEBI:34810
647,CHEBI:24315,CHEBI:37476
648,CHEBI:24315,CHEBI:39750
649,CHEBI:24315,CHEBI:48242
650,CHEBI:24315,CHEBI:5640
651,CHEBI:24315,CHEBI:598
